time,dice,epoch,samples_read
1719349659.2160661,-16.78230094909668,0,1
1719349659.80927,-16.713287353515625,0,2
1719349661.14889,-16.65545654296875,0,3
1719349662.414506,-16.64638328552246,0,4
1719349663.6878474,-16.537939071655273,0,5
1719349664.9239411,-16.6273136138916,0,6
1719349666.2065868,-16.52387809753418,0,7
1719349667.4786582,-16.571081161499023,0,8
1719349668.7214558,-16.610578536987305,0,9
1719349669.9672072,-16.484806060791016,0,10
1719349671.2436094,-16.44032096862793,0,11
1719349672.5043752,-16.5705509185791,0,12
1719349673.7446616,-16.47199058532715,0,13
1719349675.0241108,-16.549413681030273,0,14
1719349676.2843387,-16.457468032836914,0,15
1719349677.5240247,-16.453575134277344,0,16
1719349678.7886207,-16.447072982788086,0,17
1719349680.0304306,-16.449676513671875,0,18
1719349681.2929645,-16.457693099975586,0,19
1719349682.5273247,-16.351964950561523,0,20
1719349683.7844672,-16.382421493530273,0,21
1719349685.042248,-16.41632652282715,0,22
1719349686.28871,-16.317670822143555,0,23
1719349687.577833,-16.38169288635254,0,24
1719349688.8451166,-16.379276275634766,0,25
1719349690.1144762,-16.396963119506836,0,26
1719349691.3629785,-16.361083984375,0,27
1719349692.6029015,-16.4392032623291,0,28
1719349693.9013753,-16.359928131103516,0,29
1719349695.1870508,-16.31870460510254,0,30
1719349696.4415987,-16.26282501220703,0,31
1719349697.702952,-16.375574111938477,0,32
1719349698.9754746,-16.446292877197266,0,33
1719349700.24572,-16.327102661132812,0,34
1719349701.5147896,-16.30109977722168,0,35
1719349702.7885828,-16.360946655273438,0,36
1719349704.058916,-16.35917091369629,0,37
1719349705.360987,-16.37811279296875,0,38
1719349706.6335146,-16.282758712768555,0,39
1719349707.9050891,-16.281530380249023,0,40
1719349709.191256,-16.2640380859375,0,41
1719349710.4439783,-16.336925506591797,0,42
1719349711.7066016,-16.35785675048828,0,43
1719349713.0371995,-16.342315673828125,0,44
1719349714.2911339,-16.298065185546875,0,45
1719349715.5244007,-16.411617279052734,0,46
1719349716.7876723,-16.369159698486328,0,47
1719349718.047916,-16.250930786132812,0,48
1719349719.28256,-16.283166885375977,0,49
1719349720.53568,-16.33310890197754,0,50
1719349721.7850475,-16.39335060119629,0,51
1719349723.0198889,-16.263385772705078,0,52
1719349724.2657027,-16.188425064086914,0,53
1719349725.6029449,-16.297271728515625,0,54
1719349726.8603845,-16.314558029174805,0,55
1719349728.1141846,-16.272417068481445,0,56
1719349729.3659256,-16.311023712158203,0,57
1719349730.5996177,-16.275375366210938,0,58
1719349731.8590684,-16.287822723388672,0,59
1719349733.1061304,-16.25803565979004,0,60
1719349734.3630311,-16.230199813842773,0,61
1719349735.5967708,-16.248764038085938,0,62
1719349736.8494382,-16.23040008544922,0,63
1719349738.159587,-16.353925704956055,0,64
1719349739.4391248,-16.288665771484375,0,65
1719349740.6728256,-16.208988189697266,0,66
1719349741.9270093,-16.41767692565918,0,67
1719349743.1681523,-16.114702224731445,0,68
1719349744.4028292,-16.308679580688477,0,69
1719349745.648323,-16.166812896728516,0,70
1719349746.8964674,-16.281038284301758,0,71
1719349748.1482337,-16.272016525268555,0,72
1719349749.3977215,-16.190258026123047,0,73
1719349750.652784,-16.25455665588379,0,74
1719349751.94198,-16.32151222229004,0,75
1719349753.1744053,-16.236356735229492,0,76
1719349754.5799026,-16.247652053833008,0,77
1719349755.838706,-16.24596405029297,0,78
1719349757.0759315,-16.229475021362305,0,79
1719349758.3343818,-16.245447158813477,0,80
1719349759.6429663,-16.363252639770508,0,81
1719349760.876043,-16.280683517456055,0,82
1719349762.115571,-16.277341842651367,0,83
1719349763.3496811,-16.249513626098633,0,84
1719349764.7982955,-16.33864402770996,0,85
1719349766.054882,-16.243452072143555,0,86
1719349767.289898,-16.361948013305664,0,87
1719349768.5392113,-16.288759231567383,0,88
1719349769.7736015,-16.17582130432129,0,89
1719349771.014404,-16.189176559448242,0,90
1719349772.2681165,-16.237689971923828,0,91
1719349773.5021012,-16.1892032623291,0,92
1719349774.810592,-16.183555603027344,0,93
1719349776.056315,-16.24285316467285,0,94
1719349777.476899,-16.16818618774414,0,95
1719349778.7284038,-16.203533172607422,0,96
1719349779.9649925,-16.35221290588379,0,97
1719349781.2139513,-16.187150955200195,0,98
1719349782.4464269,-16.149059295654297,0,99
1719349783.6922076,-16.071256637573242,0,100
1719349788.945445,-16.02042579650879,1,101
1719349790.2038314,-16.209178924560547,1,102
1719349791.4610431,-16.232526779174805,1,103
1719349792.7415621,-16.246706008911133,1,104
1719349794.038509,-16.224607467651367,1,105
1719349795.3163397,-16.128557205200195,1,106
1719349796.5657039,-16.103797912597656,1,107
1719349797.822422,-16.18219566345215,1,108
1719349799.0784464,-16.129718780517578,1,109
1719349800.334813,-16.25550079345703,1,110
1719349801.5943606,-16.133974075317383,1,111
1719349802.862532,-16.22268295288086,1,112
1719349804.1818523,-16.264585494995117,1,113
1719349805.4210112,-15.99199104309082,1,114
1719349806.702401,-16.086740493774414,1,115
1719349807.9596825,-16.13351821899414,1,116
1719349809.2339852,-16.117450714111328,1,117
1719349810.518358,-16.134397506713867,1,118
1719349811.7754276,-16.265811920166016,1,119
1719349813.0109687,-16.393205642700195,1,120
1719349814.2947855,-16.07807731628418,1,121
1719349815.5693007,-16.060283660888672,1,122
1719349816.8211963,-15.909048080444336,1,123
1719349818.0682058,-16.14657211303711,1,124
1719349819.3354151,-16.271623611450195,1,125
1719349820.587655,-16.06842803955078,1,126
1719349821.827821,-16.132925033569336,1,127
1719349823.0887542,-16.04601287841797,1,128
1719349824.326692,-16.187179565429688,1,129
1719349825.5987291,-16.100967407226562,1,130
1719349826.8623233,-16.048555374145508,1,131
1719349828.1530397,-16.093814849853516,1,132
1719349829.4193473,-16.15392303466797,1,133
1719349830.6612952,-16.137901306152344,1,134
1719349831.9035041,-16.183368682861328,1,135
1719349833.1440709,-15.975669860839844,1,136
1719349834.406278,-16.138473510742188,1,137
1719349835.7180247,-16.108169555664062,1,138
1719349836.9729633,-16.232622146606445,1,139
1719349838.2320688,-16.061824798583984,1,140
1719349839.4652505,-16.224565505981445,1,141
1719349840.719171,-16.07556915283203,1,142
1719349842.02018,-16.074844360351562,1,143
1719349843.262053,-15.941221237182617,1,144
1719349844.5492463,-16.02334976196289,1,145
1719349845.805253,-16.12954330444336,1,146
1719349847.1131268,-15.958736419677734,1,147
1719349848.3818855,-15.999727249145508,1,148
1719349849.6287704,-16.102235794067383,1,149
1719349850.886683,-16.03829002380371,1,150
1719349852.134507,-16.142894744873047,1,151
1719349853.378345,-16.031410217285156,1,152
1719349854.699411,-15.973699569702148,1,153
1719349855.9553905,-16.081424713134766,1,154
1719349857.2152019,-16.104799270629883,1,155
1719349858.4557207,-16.16596031188965,1,156
1719349859.690141,-15.976356506347656,1,157
1719349860.93788,-15.995824813842773,1,158
1719349862.1918626,-16.13059425354004,1,159
1719349863.4463596,-15.879802703857422,1,160
1719349864.6898592,-16.066164016723633,1,161
1719349865.9395683,-15.949987411499023,1,162
1719349867.201888,-15.915140151977539,1,163
1719349868.4496198,-15.995635986328125,1,164
1719349869.703418,-15.999801635742188,1,165
1719349870.9634116,-16.14352798461914,1,166
1719349872.2219808,-16.041419982910156,1,167
1719349873.4674268,-15.908292770385742,1,168
1719349874.7376468,-16.112117767333984,1,169
1719349876.0131776,-15.931770324707031,1,170
1719349877.2687194,-16.190519332885742,1,171
1719349878.501753,-15.885196685791016,1,172
1719349879.7849343,-15.936716079711914,1,173
1719349881.03895,-16.042970657348633,1,174
1719349882.2838516,-15.969451904296875,1,175
1719349883.5455096,-16.01630401611328,1,176
1719349884.7771802,-15.897760391235352,1,177
1719349886.0320337,-15.888729095458984,1,178
1719349887.2753465,-15.929656982421875,1,179
1719349888.5273304,-16.1241397857666,1,180
1719349889.7797275,-16.037221908569336,1,181
1719349891.0668347,-16.062740325927734,1,182
1719349892.3630998,-15.986757278442383,1,183
1719349893.6142302,-15.880254745483398,1,184
1719349894.8706355,-15.90217399597168,1,185
1719349896.116431,-16.00735092163086,1,186
1719349897.4340823,-15.942935943603516,1,187
1719349898.6689985,-15.886146545410156,1,188
1719349899.924965,-15.899286270141602,1,189
1719349901.165879,-16.111190795898438,1,190
1719349902.4009233,-16.029409408569336,1,191
1719349903.766183,-16.05873680114746,1,192
1719349905.0002084,-15.885021209716797,1,193
1719349906.235571,-16.046611785888672,1,194
1719349907.4794078,-15.899242401123047,1,195
1719349908.7134292,-15.870250701904297,1,196
1719349910.0357928,-15.883169174194336,1,197
1719349911.271188,-16.16227149963379,1,198
1719349912.5043736,-15.960174560546875,1,199
1719349913.748901,-15.789369583129883,1,200
1719349918.9893486,-15.898088455200195,2,201
1719349920.239781,-16.028175354003906,2,202
1719349921.4875658,-15.966930389404297,2,203
1719349922.7705753,-15.950777053833008,2,204
