timestamp,gpu_util,gpu_mem
1718897481.6860456,5.0,435.0
1718897481.8168488,3.0,435.0
1718897481.9500062,3.0,448.0
1718897482.091393,3.0,954.0
1718897482.2322886,24.0,953.0
1718897482.3665576,14.0,953.0
1718897482.499077,14.0,953.0
1718897482.6324222,13.0,953.0
1718897482.7652526,8.0,953.0
1718897482.91036,8.0,953.0
1718897483.0432258,8.0,955.0
1718897483.1775365,10.0,955.0
1718897483.3114257,10.0,953.0
1718897483.4466746,11.0,943.0
1718897483.5775313,10.0,943.0
1718897483.7087533,10.0,953.0
1718897483.839357,10.0,953.0
1718897483.9728386,8.0,953.0
1718897484.1060221,8.0,961.0
1718897484.2374911,11.0,961.0
1718897484.3699117,9.0,961.0
1718897484.505847,9.0,961.0
1718897484.639435,15.0,961.0
1718897484.7730868,14.0,961.0
1718897484.9074228,14.0,961.0
1718897485.0394287,9.0,961.0
1718897485.1731615,10.0,929.0
1718897485.30853,10.0,931.0
1718897485.445021,12.0,931.0
1718897485.5806067,13.0,931.0
1718897485.717893,13.0,931.0
1718897485.853662,13.0,931.0
1718897485.9857786,11.0,931.0
1718897486.1214569,11.0,931.0
1718897486.2608006,11.0,931.0
1718897486.3979642,12.0,931.0
1718897486.5352037,12.0,935.0
1718897486.6769416,12.0,935.0
1718897486.8193889,12.0,935.0
1718897486.957336,13.0,935.0
1718897487.09142,13.0,935.0
1718897487.2304952,12.0,935.0
1718897487.3681908,13.0,935.0
1718897487.506708,13.0,935.0
1718897487.645439,13.0,935.0
1718897487.7824707,12.0,936.0
1718897487.9154224,12.0,936.0
1718897488.0578094,12.0,936.0
1718897488.1942375,8.0,936.0
1718897488.3311784,2.0,936.0
1718897488.4706883,2.0,936.0
1718897488.609295,8.0,936.0
1718897488.749487,12.0,936.0
1718897488.8874214,12.0,936.0
1718897489.0272927,13.0,936.0
1718897489.1723883,12.0,936.0
1718897489.3132477,12.0,936.0
1718897489.447171,7.0,936.0
1718897489.5834196,2.0,936.0
1718897489.719422,2.0,936.0
1718897489.860225,15.0,936.0
1718897489.996786,13.0,936.0
1718897490.1343403,12.0,936.0
1718897490.2703567,12.0,936.0
1718897490.4086893,15.0,936.0
1718897490.5430627,12.0,936.0
1718897490.6762078,12.0,936.0
1718897490.808473,14.0,936.0
1718897490.941926,13.0,936.0
1718897491.0762527,13.0,936.0
1718897491.208864,12.0,936.0
1718897491.3427455,1.0,936.0
1718897491.4765284,1.0,936.0
1718897491.6099026,8.0,936.0
1718897491.7429106,1.0,936.0
1718897491.8754284,1.0,936.0
1718897492.0127769,1.0,936.0
1718897492.148617,7.0,936.0
1718897492.2817316,7.0,936.0
1718897492.4164636,11.0,936.0
1718897492.552185,11.0,936.0
1718897492.6867979,11.0,936.0
1718897492.8229644,1.0,936.0
1718897492.9577935,16.0,936.0
1718897493.093859,16.0,936.0
1718897493.2248235,14.0,936.0
1718897493.3623104,4.0,936.0
1718897493.4999363,4.0,936.0
1718897493.6346958,11.0,936.0
1718897493.7662942,4.0,936.0
1718897493.9023693,4.0,936.0
1718897494.0350387,1.0,936.0
1718897494.1674266,5.0,936.0
1718897494.3019323,5.0,936.0
1718897494.4369256,0.0,936.0
1718897494.56941,0.0,936.0
1718897494.7041984,0.0,935.0
1718897494.8386934,6.0,935.0
1718897494.9736948,12.0,935.0
1718897495.105738,12.0,935.0
1718897495.2362988,12.0,935.0
1718897495.3674176,4.0,935.0
1718897495.4994123,4.0,935.0
1718897495.6314092,0.0,935.0
1718897495.7619824,11.0,935.0
1718897495.8938668,11.0,935.0
1718897496.0240831,16.0,935.0
1718897496.1545277,5.0,935.0
1718897496.2905657,5.0,935.0
1718897496.426865,9.0,935.0
1718897496.5615745,3.0,935.0
1718897496.693954,3.0,935.0
1718897496.8265781,0.0,935.0
1718897496.9583285,1.0,935.0
1718897497.090537,1.0,935.0
1718897497.223413,0.0,935.0
1718897497.3545618,6.0,935.0
1718897497.4923184,6.0,935.0
1718897497.6247373,2.0,935.0
1718897497.7567725,2.0,935.0
1718897497.8904557,2.0,935.0
1718897498.0232422,0.0,935.0
1718897498.1561594,1.0,935.0
1718897498.2884045,1.0,935.0
1718897498.4222329,2.0,935.0
1718897498.5548575,0.0,935.0
1718897498.6893535,0.0,935.0
1718897498.8212526,1.0,975.0
1718897498.9554973,3.0,975.0
1718897499.086854,3.0,975.0
1718897499.2194352,1.0,976.0
1718897499.359437,21.0,976.0
1718897499.4977148,21.0,976.0
1718897499.6332412,47.0,967.0
1718897499.7686298,22.0,967.0
1718897499.9022508,22.0,967.0
1718897500.039223,8.0,967.0
1718897500.1738272,4.0,967.0
1718897500.3067367,4.0,967.0
1718897500.4407308,9.0,967.0
1718897500.5736487,9.0,967.0
1718897500.7061214,9.0,967.0
1718897500.840046,23.0,955.0
1718897500.9744463,35.0,955.0
1718897501.1069882,35.0,955.0
1718897501.2394178,21.0,955.0
1718897501.3704207,10.0,955.0
1718897501.5027092,10.0,959.0
1718897501.6341586,11.0,959.0
1718897501.766795,9.0,959.0
1718897501.9008055,9.0,959.0
1718897502.0325847,11.0,959.0
1718897502.1659372,12.0,959.0
1718897502.2981153,12.0,959.0
1718897502.4294589,11.0,959.0
1718897502.562343,11.0,959.0
1718897502.694485,11.0,963.0
1718897502.8252375,40.0,963.0
1718897502.9570704,27.0,963.0
1718897503.092375,27.0,963.0
1718897503.2261713,10.0,963.0
1718897503.3568902,12.0,963.0
1718897503.4909878,12.0,963.0
1718897503.6249003,10.0,963.0
1718897503.7572463,10.0,963.0
1718897503.889719,10.0,963.0
1718897504.0223744,10.0,963.0
1718897504.1546159,10.0,963.0
1718897504.2865403,10.0,963.0
1718897504.4205496,10.0,963.0
1718897504.5538733,12.0,963.0
1718897504.6874194,12.0,931.0
1718897504.8274882,36.0,931.0
1718897505.0180583,41.0,931.0
1718897505.2587686,42.0,931.0
1718897505.4951448,42.0,931.0
1718897505.7389555,49.0,931.0
1718897505.9335032,16.0,931.0
1718897506.1242814,11.0,931.0
1718897506.3722332,15.0,931.0
1718897506.661217,12.0,931.0
1718897506.8308165,12.0,931.0
1718897507.023423,11.0,931.0
1718897507.1974823,13.0,931.0
1718897507.3666492,13.0,931.0
1718897507.5291243,9.0,931.0
1718897507.7047002,40.0,931.0
1718897507.8746347,40.0,931.0
1718897508.0541265,41.0,931.0
1718897508.2361894,39.0,931.0
1718897508.4425902,47.0,931.0
1718897508.7607741,45.0,931.0
1718897508.9176652,45.0,931.0
1718897509.0544982,36.0,931.0
1718897509.2394252,41.0,931.0
1718897509.3874207,38.0,931.0
1718897509.5594192,40.0,931.0
1718897509.739437,37.0,931.0
1718897509.9119284,42.0,931.0
1718897510.1032355,14.0,931.0
1718897510.282972,13.0,931.0
1718897510.511498,13.0,931.0
1718897510.7173743,12.0,931.0
1718897510.8809538,12.0,931.0
1718897511.014262,11.0,931.0
1718897511.1503007,11.0,931.0
1718897511.2852802,11.0,931.0
1718897511.4192295,11.0,931.0
1718897511.552762,11.0,931.0
1718897511.6914704,12.0,931.0
1718897511.9084775,39.0,931.0
1718897512.2054324,50.0,931.0
1718897512.4554815,42.0,931.0
1718897512.6886537,37.0,931.0
1718897512.8675182,45.0,931.0
1718897513.113014,44.0,931.0
1718897513.4275198,42.0,931.0
1718897513.6654193,13.0,931.0
1718897513.8696103,13.0,931.0
1718897514.011472,12.0,931.0
1718897514.1943934,12.0,931.0
1718897514.3731754,11.0,931.0
1718897514.5097816,12.0,931.0
1718897514.706851,12.0,931.0
1718897514.8595726,12.0,931.0
1718897515.0595205,13.0,931.0
1718897515.2582204,43.0,931.0
1718897515.5226264,44.0,931.0
1718897515.765766,44.0,931.0
1718897515.936387,40.0,931.0
1718897516.1053498,41.0,931.0
1718897516.2754185,43.0,931.0
1718897516.4674234,43.0,931.0
1718897516.651491,40.0,931.0
1718897516.8306432,37.0,931.0
1718897517.018043,39.0,931.0
1718897517.2043023,46.0,931.0
1718897517.4755175,46.0,931.0
1718897517.6287894,13.0,931.0
1718897517.773889,13.0,931.0
1718897517.9113376,13.0,931.0
1718897518.0506222,9.0,931.0
1718897518.1857471,11.0,931.0
1718897518.3222106,10.0,931.0
1718897518.4577446,10.0,931.0
1718897518.6579528,12.0,931.0
1718897518.896183,12.0,931.0
1718897519.1403878,12.0,931.0
1718897519.4000525,43.0,931.0
1718897519.6269133,44.0,931.0
1718897519.8372567,39.0,931.0
1718897520.0874474,45.0,931.0
1718897520.3075206,43.0,931.0
1718897520.5639353,36.0,931.0
