time,dice,epoch,samples_read
1719940015.224917,-16.594770431518555,0,1
1719940015.3070295,-16.576339721679688,0,2
1719940015.4636075,-16.55470848083496,0,3
1719940015.6200323,-16.53564453125,0,4
1719940015.7763617,-16.520811080932617,0,5
1719940015.9326558,-16.510194778442383,0,6
1719940016.1327853,-16.50309944152832,0,7
1719940016.3293283,-16.497591018676758,0,8
1719940016.5184298,-16.493328094482422,0,9
1719940016.7279384,-16.489782333374023,0,10
1719940020.8920035,-16.486492156982422,0,11
1719940021.048456,-16.48369598388672,0,12
1719940021.2044222,-16.48130989074707,0,13
1719940021.3611362,-16.479217529296875,0,14
1719940021.5294702,-16.477436065673828,0,15
1719940021.7113283,-16.47589874267578,0,16
1719940021.9098053,-16.474435806274414,0,17
1719940022.1345015,-16.47304344177246,0,18
1719940022.3181558,-16.471776962280273,0,19
1719940022.5212123,-16.470544815063477,0,20
1719940026.6692572,-16.469301223754883,0,21
1719940026.8257287,-16.468135833740234,0,22
1719940026.982016,-16.46704864501953,0,23
1719940027.1385293,-16.46600341796875,0,24
1719940027.295188,-16.4649658203125,0,25
1719940027.5023296,-16.46391487121582,0,26
1719940027.6866014,-16.4628963470459,0,27
1719940027.8919332,-16.461889266967773,0,28
1719940028.0988028,-16.460851669311523,0,29
1719940028.3025951,-16.45982551574707,0,30
1719940032.4416316,-16.45885467529297,0,31
1719940032.5979548,-16.45791244506836,0,32
1719940032.7544646,-16.456985473632812,0,33
1719940032.9103987,-16.456079483032227,0,34
1719940033.0666795,-16.455236434936523,0,35
1719940033.2649958,-16.454370498657227,0,36
1719940033.4641683,-16.453510284423828,0,37
1719940033.6759589,-16.452665328979492,0,38
1719940033.8726876,-16.451784133911133,0,39
1719940034.0636659,-16.450918197631836,0,40
1719940038.1929767,-16.450037002563477,0,41
1719940038.3490694,-16.449132919311523,0,42
1719940038.504967,-16.448232650756836,0,43
1719940038.660964,-16.447315216064453,0,44
1719940038.8298066,-16.44635581970215,0,45
1719940039.005944,-16.445350646972656,0,46
1719940039.216022,-16.444305419921875,0,47
1719940039.4216743,-16.443218231201172,0,48
1719940039.6130142,-16.442075729370117,0,49
1719940039.8117838,-16.440885543823242,0,50
1719940043.9309435,-16.43967056274414,0,51
1719940044.087187,-16.438417434692383,0,52
1719940044.2434864,-16.437171936035156,0,53
1719940044.400175,-16.43600082397461,0,54
1719940044.568419,-16.4349365234375,0,55
1719940044.7513459,-16.433990478515625,0,56
1719940044.950484,-16.43310546875,0,57
1719940045.1568103,-16.432273864746094,0,58
1719940045.3578575,-16.431453704833984,0,59
1719940045.5491166,-16.430648803710938,0,60
1719940049.6793053,-16.429935455322266,0,61
1719940049.8396528,-16.42942237854004,0,62
1719940049.992272,-16.429126739501953,0,63
1719940050.1582754,-16.42770767211914,0,64
1719940050.3192525,-16.427228927612305,0,65
1719940050.4914072,-16.426361083984375,0,66
1719940050.7033894,-16.425718307495117,0,67
1719940050.9017923,-16.424972534179688,0,68
1719940051.0926342,-16.424335479736328,0,69
1719940051.3014498,-16.423641204833984,0,70
1719940055.445421,-16.422998428344727,0,71
1719940055.601789,-16.422283172607422,0,72
1719940055.7588952,-16.421607971191406,0,73
1719940055.9152768,-16.420936584472656,0,74
1719940056.072264,-16.420238494873047,0,75
1719940056.265874,-16.41958999633789,0,76
1719940056.4785004,-16.41889762878418,0,77
1719940056.682316,-16.41827964782715,0,78
1719940056.8814535,-16.41756820678711,0,79
1719940057.0816026,-16.416946411132812,0,80
1719940061.2060287,-16.416263580322266,0,81
1719940061.3623333,-16.41558837890625,0,82
1719940061.5182006,-16.414974212646484,0,83
1719940061.6744807,-16.41429901123047,0,84
1719940061.8307152,-16.413679122924805,0,85
1719940062.0269682,-16.41328239440918,0,86
1719940062.2284427,-16.413503646850586,0,87
1719940062.425256,-16.412830352783203,0,88
1719940062.6254582,-16.411489486694336,0,89
1719940062.825505,-16.411235809326172,0,90
1719940066.9691007,-16.410226821899414,0,91
1719940067.126039,-16.409650802612305,0,92
1719940067.2824104,-16.40899085998535,0,93
1719940067.4390736,-16.408178329467773,0,94
1719940067.5955822,-16.407638549804688,0,95
1719940067.7969782,-16.406749725341797,0,96
1719940068.0090199,-16.40625,0,97
1719940068.2095652,-16.405437469482422,0,98
1719940068.4173036,-16.40487289428711,0,99
1719940068.635126,-16.404064178466797,0,100
1719940072.7724068,-16.403472900390625,0,101
1719940072.9289749,-16.402618408203125,0,102
1719940073.0855463,-16.40207290649414,0,103
1719940073.2416968,-16.401342391967773,0,104
1719940073.3979192,-16.400699615478516,0,105
1719940073.6063023,-16.399850845336914,0,106
1719940073.7914596,-16.39922332763672,0,107
1719940073.9964378,-16.398670196533203,0,108
1719940074.2145867,-16.39810562133789,0,109
1719940074.3982441,-16.397869110107422,0,110
1719940078.5650904,-16.396759033203125,0,111
1719940078.721723,-16.39610481262207,0,112
1719940078.8776238,-16.395647048950195,0,113
1719940079.0337214,-16.394418716430664,0,114
1719940079.1900237,-16.39427947998047,0,115
1719940079.391063,-16.3944034576416,0,116
1719940079.5988946,-16.39341163635254,0,117
1719940079.793547,-16.39225196838379,0,118
1719940079.9960017,-16.391639709472656,0,119
1719940080.2082744,-16.39090347290039,0,120
1719940084.3580008,-16.389755249023438,0,121
1719940084.5133834,-16.389278411865234,0,122
1719940084.6698058,-16.388164520263672,0,123
1719940084.8264575,-16.38747787475586,0,124
1719940084.9828885,-16.386638641357422,0,125
1719940085.187121,-16.386327743530273,0,126
1719940085.3888705,-16.38638687133789,0,127
1719940085.5959637,-16.385854721069336,0,128
1719940085.8052495,-16.38432502746582,0,129
1719940086.0058088,-16.383771896362305,0,130
1719940090.1484325,-16.383258819580078,0,131
1719940090.3089564,-16.382427215576172,0,132
1719940090.4654887,-16.38096046447754,0,133
1719940090.6218412,-16.38094139099121,0,134
1719940090.7784832,-16.379915237426758,0,135
1719940090.9848938,-16.379146575927734,0,136
1719940091.1893423,-16.37754249572754,0,137
1719940091.3906884,-16.377256393432617,0,138
1719940091.605478,-16.376754760742188,0,139
1719940091.8074656,-16.37532615661621,0,140
1719940095.9489477,-16.374717712402344,0,141
1719940096.1054533,-16.37357521057129,0,142
1719940096.2617347,-16.372758865356445,0,143
1719940096.4176884,-16.371719360351562,0,144
1719940096.574019,-16.37065887451172,0,145
1719940096.761296,-16.36979866027832,0,146
1719940096.960232,-16.36874771118164,0,147
1719940097.1777802,-16.367937088012695,0,148
1719940097.365198,-16.367204666137695,0,149
1719940097.5645697,-16.365985870361328,0,150
1719940101.7330759,-16.365020751953125,0,151
1719940101.8892112,-16.3646240234375,0,152
1719940102.0453959,-16.363685607910156,0,153
1719940102.2014997,-16.3624324798584,0,154
1719940102.3575811,-16.364173889160156,0,155
1719940102.5528266,-16.363492965698242,0,156
1719940102.7515771,-16.362628936767578,0,157
1719940102.943706,-16.360641479492188,0,158
1719940103.1466563,-16.361045837402344,0,159
1719940103.3466244,-16.36033821105957,0,160
1719940107.4659007,-16.358545303344727,0,161
1719940107.6347866,-16.357412338256836,0,162
1719940107.7903998,-16.356491088867188,0,163
1719940107.9464755,-16.355703353881836,0,164
1719940108.1030953,-16.354167938232422,0,165
1719940108.286544,-16.352874755859375,0,166
1719940108.4855337,-16.352588653564453,0,167
1719940108.6854916,-16.350690841674805,0,168
1719940108.8845458,-16.349836349487305,0,169
1719940109.0845783,-16.348447799682617,0,170
1719940113.2168038,-16.347209930419922,0,171
1719940113.3847418,-16.346275329589844,0,172
1719940113.5390933,-16.345029830932617,0,173
1719940113.6946208,-16.343976974487305,0,174
1719940113.8510137,-16.342744827270508,0,175
1719940114.0389082,-16.34168815612793,0,176
1719940114.2365036,-16.34043312072754,0,177
1719940114.4381306,-16.339263916015625,0,178
1719940114.6421447,-16.33835220336914,0,179
1719940114.8441315,-16.337648391723633,0,180
1719940118.977354,-16.33609390258789,0,181
1719940119.1337485,-16.33510398864746,0,182
1719940119.2899728,-16.333995819091797,0,183
1719940119.44579,-16.333251953125,0,184
1719940119.6204612,-16.331449508666992,0,185
1719940119.81742,-16.33080291748047,0,186
1719940120.0079165,-16.331159591674805,0,187
1719940120.2101932,-16.328828811645508,0,188
1719940120.4156616,-16.32943344116211,0,189
1719940120.6081216,-16.327877044677734,0,190
1719940124.734701,-16.32770538330078,0,191
1719940124.8915308,-16.32677459716797,0,192
1719940125.0474584,-16.326539993286133,0,193
1719940125.2144358,-16.325010299682617,0,194
1719940125.37102,-16.323453903198242,0,195
1719940125.5654438,-16.32105255126953,0,196
1719940125.756593,-16.320823669433594,0,197
1719940125.9617343,-16.319425582885742,0,198
1719940126.1693096,-16.318174362182617,0,199
1719940126.367197,-16.317325592041016,0,200
1719940130.4978871,-16.315998077392578,0,201
1719940130.6541848,-16.314170837402344,0,202
1719940130.8222263,-16.31298065185547,0,203
1719940130.9778957,-16.31171417236328,0,204
1719940131.1344342,-16.310667037963867,0,205
1719940131.3209028,-16.309492111206055,0,206
1719940131.5195053,-16.30780601501465,0,207
1719940131.7190359,-16.306657791137695,0,208
1719940131.917714,-16.30556297302246,0,209
1719940132.1171935,-16.303598403930664,0,210
1719940136.2464442,-16.302827835083008,0,211
1719940136.403186,-16.30136489868164,0,212
1719940136.559107,-16.299970626831055,0,213
1719940136.7287889,-16.298828125,0,214
1719940136.8849592,-16.298288345336914,0,215
1719940137.078247,-16.300079345703125,0,216
1719940137.267878,-16.29608917236328,0,217
1719940137.4702895,-16.29607391357422,0,218
1719940137.6726668,-16.29645347595215,0,219
1719940137.867,-16.29432487487793,0,220
1719940142.0387921,-16.293424606323242,0,221
1719940142.195525,-16.291662216186523,0,222
