time,dice,epoch,samples_read
1719338738.0945103,-16.799551010131836,0,1
1719338741.1660306,-16.76016616821289,0,2
1719338745.390006,-16.671247482299805,0,3
1719338749.6024761,-16.70236587524414,0,4
1719338753.8501983,-16.686809539794922,0,5
1719338758.0645783,-16.53855323791504,0,6
1719338762.3500128,-16.58773422241211,0,7
1719338766.656072,-16.628807067871094,0,8
1719338770.872101,-16.68882942199707,0,9
1719338775.135559,-16.500890731811523,0,10
1719338806.1028154,-16.539794921875,1,11
1719338810.3445628,-16.59524917602539,1,12
1719338814.5255876,-16.551116943359375,1,13
1719338818.8825629,-16.51058006286621,1,14
1719338823.0414712,-16.492042541503906,1,15
1719338827.1844833,-16.44953727722168,1,16
1719338831.3330686,-16.372249603271484,1,17
1719338835.4553137,-16.444063186645508,1,18
1719338839.6633542,-16.38028907775879,1,19
1719338843.8835614,-16.428401947021484,1,20
1719338874.8668854,-16.43932342529297,2,21
1719338879.0740337,-16.28728675842285,2,22
1719338883.2635548,-16.332975387573242,2,23
1719338887.5325742,-16.33692741394043,2,24
1719338891.739249,-16.31024742126465,2,25
1719338895.9161613,-16.493877410888672,2,26
1719338900.1354334,-16.332334518432617,2,27
1719338904.3585758,-16.39434051513672,2,28
1719338908.5443792,-16.4274959564209,2,29
